﻿character,tag
菲,B-GPE
律,M-GPE
宾,E-GPE
总,O
统,O
埃,B-PER
斯,M-PER
特,M-PER
拉,M-PER
达,E-PER
２,O
号,O
透,O
过,O
马,B-GPE
尼,M-GPE
拉,E-GPE
当,O
地,O
电,O
台,O
宣,O
布,O
说,O
，,O
在,O
仍,O
遭,O
到,O
激,O
进,O
的,O
回,O
教,O
阿,B-PER
卜,M-PER
沙,M-PER
耶,M-PER
夫,E-PER
组,O
织,O
羁,O
押,O
在,O
非,B-GPE
国,E-GPE
南,O
部,O
和,B-LOC
落,M-LOC
岛,E-LOC
的,O
１,O
６,O
名,O
人,O
质,O
当,O
中,O
，,O
军,O
方,O
已,O
经,O
营,O
救,O
出,O
了,O
１,O
１,O
名,O
菲,B-GPE
律,M-GPE
宾,E-GPE
人,O
质,O
。,O
,
获,O
救,O
的,O
人,O
质,O
为,O
以,O
前,O
电,O
视,O
布,O
道,O
家,O
阿,B-PER
美,M-PER
达,E-PER
为,O
首,O
的,O
基,O
督,O
教,O
传,O
教,O
士,O
。,O
,
阿,B-PER
美,M-PER
达,E-PER
在,O
７,O
月,O
份,O
前,O
往,O
和,B-LOC
落,M-LOC
岛,E-LOC
为,O
遭,O
到,O
绑,O
架,O
、,O
狭,O
持,O
的,O
人,O
质,O
祷,O
告,O
。,O
,
埃,B-PER
斯,M-PER
特,M-PER
拉,M-PER
达,E-PER
２,O
号,O
接,O
受,O
菲,O
律,O
宾,O
一,O
家,O
电,O
台,O
访,O
问,O
时,O
说,O
，,O
三,O
军,O
参,O
谋,O
总,O
长,O
雷,B-PER
耶,M-PER
丝,E-PER
打,O
电,O
话,O
向,O
他,O
报,O
告,O
说,O
，,O
阿,B-PER
美,M-PER
达,E-PER
和,O
其,O
随,O
行,O
者,O
已,O
经,O
在,O
和,B-LOC
落,M-LOC
岛,E-LOC
塔,B-GPE
里,M-GPE
班,E-GPE
的,O
马,B-GPE
巴,E-GPE
…,O
…,O
继,O
续,O
是,O
重,O
要,O
的,O
国,O
际,O
新,O
闻,O
。,O
,
继,O
续,O
是,O
重,O
要,O
的,O
国,O
际,O
新,O
闻,O
。,O
,
首,O
先,O
我,O
们,O
先,O
来,O
关,O
心,O
南,B-GPE
斯,M-GPE
拉,M-GPE
夫,E-GPE
总,O
统,O
大,O
选,O
的,O
状,O
况,O
。,O
,
南,B-GPE
斯,M-GPE
拉,M-GPE
夫,E-GPE
独,O
立,O
的,O
ｂ,O
２,O
９,O
２,O
电,O
台,O
５,O
号,O
报,O
导,O
说,O
，,O
南,B-GPE
斯,M-GPE
拉,M-GPE
夫,E-GPE
宪,O
法,O
法,O
庭,O
主,O
席,O
塞,B-PER
尔,M-PER
迪,M-PER
克,E-PER
指,O
出,O
，,O
南,B-GPE
斯,M-GPE
拉,M-GPE
夫,E-GPE
引,O
发,O
争,O
议,O
的,O
总,O
统,O
大,O
选,O
将,O
重,O
新,O
举,O
行,O
。,O
,
报,O
导,O
引,O
述,O
自,O
由,O
欧,O
洲,O
电,O
台,O
的,O
消,O
息,O
指,O
出,O
，,O
塞,B-PER
尔,M-PER
迪,M-PER
尔,E-PER
表,O
示,O
南,O
国,O
总,O
统,O
选,O
举,O
第,O
一,O
回,O
合,O
无,O
效,O
，,O
选,O
举,O
必,O
须,O
要,O
重,O
新,O
举,O
行,O
，,O
这,O
是,O
最,O
后,O
的,O
决,O
定,O
，,O
无,O
法,O
再,O
改,O
变,O
，,O
而,O
新,O
的,O
选,O
举,O
必,O
须,O
在,O
现,O
任,O
总,O
统,O
米,B-PER
洛,M-PER
舍,M-PER
维,M-PER
奇,E-PER
２,O
０,O
０,O
１,O
年,O
总,O
统,O
任,O
期,O
到,O
期,O
前,O
举,O
行,O
。,O
,
而,O
英,B-GPE
国,E-GPE
外,B-ORG
交,M-ORG
部,E-ORG
５,O
号,O
则,O
对,O
南,O
国,O
宪,O
法,O
法,O
庭,O
裁,O
决,O
南,B-GPE
国,E-GPE
将,O
重,O
新,O
举,O
行,O
总,O
统,O
选,O
举,O
表,O
示,O
谴,O
责,O
。,O
,
英,B-GPE
国,E-GPE
外,B-ORG
交,M-ORG
部,E-ORG
在,O
声,O
明,O
中,O
表,O
示,O
，,O
南,O
国,O
宪,O
法,O
法,O
庭,O
宣,O
布,O
南,B-GPE
国,E-GPE
总,O
统,O
选,O
举,O
无,O
效,O
，,O
使,O
米,B-PER
洛,M-PER
舍,M-PER
维,M-PER
奇,E-PER
仍,O
然,O
留,O
任,O
的,O
措,O
施,O
令,O
人,O
无,O
法,O
接,O
受,O
。,O
,
而,O
由,O
南,B-GPE
斯,M-GPE
拉,M-GPE
夫,E-GPE
反,O
对,O
党,O
所,O
发,O
起,O
的,O
大,O
规,O
模,O
非,O
暴,O
力,O
抗,O
议,O
活,O
动,O
５,O
号,O
进,O
入,O
了,O
第,O
４,O
天,O
，,O
大,O
约,O
有,O
２,O
０,O
万,O
名,O
