,id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities,text
0,1,_, , ,很好,0,2,整体,正面,很好，超值，很好用
1,1,_, , ,超值,3,5,价格,正面,很好，超值，很好用
2,1,_, , ,很好用,6,9,整体,正面,很好，超值，很好用
3,2,_, , ,很好,0,2,整体,正面,很好，遮暇功能差一些，总体还不错
4,2,遮暇功能,3,7,差一些,7,10,功效,负面,很好，遮暇功能差一些，总体还不错
5,2,_, , ,还不错,13,16,整体,正面,很好，遮暇功能差一些，总体还不错
6,3,包装,0,2,太随便了,2,6,包装,负面,包装太随便了，连个包装盒都没有，第一感觉很不好
7,3,包装盒,9,12,没有,13,15,包装,负面,包装太随便了，连个包装盒都没有，第一感觉很不好
8,3,_, , ,很不好,20,23,整体,负面,包装太随便了，连个包装盒都没有，第一感觉很不好
9,4,_, , ,非常的不好,8,13,整体,负面,宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。
10,4,_, , ,垃圾,19,21,整体,负面,宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。
11,5,_, , ,很是划算,3,7,价格,正面,活动价很是划算，买一送一共60片才花八十五块，天天用都不心疼啊
12,6,香味,14,16,淡淡的,11,14,气味,正面,使用一段时间才来评价，淡淡的香味，喜欢！
13,6,_, , ,喜欢,17,19,整体,正面,使用一段时间才来评价，淡淡的香味，喜欢！
14,7,_, , ,还不错,7,10,整体,正面,之前买过。用了还不错。继续回购
15,8,_, , ,很润,0,2,使用体验,正面,很润相对好推开。总体还可以。
16,8,_, , ,好推开,4,7,使用体验,正面,很润相对好推开。总体还可以。
17,8,_, , ,还可以,10,13,整体,正面,很润相对好推开。总体还可以。
18,9,_, , ,很不错,11,14,整体,正面,收到了，当天晚上就用了很不错哦，
19,10,_, , ,比较划算,7,11,价格,正面,做活动时买的，比较划算，也比较好用
20,10,_, , ,比较好用,13,17,整体,正面,做活动时买的，比较划算，也比较好用
21,11,_, , ,好用,0,2,整体,正面,好用不油腻很清爽
22,11,_, , ,不油腻,2,5,使用体验,正面,好用不油腻很清爽
23,11,_, , ,很清爽,5,8,使用体验,正面,好用不油腻很清爽
24,12,_, , ,水润,2,4,整体,正面,气垫水润，还送了一个替换装，很值
25,12,_, , ,很值,14,16,价格,正面,气垫水润，还送了一个替换装，很值
26,13,物流,15,17,快,18,19,物流,正面,一直在**买东西，质量值得信赖物流还快，以后还会继续关注的。
27,14,_, , ,很好的,0,3,整体,正面,很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。
28,14,_, , ,不错,28,30,整体,正面,很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。
29,15,上妆效果,0,4,容易上妆,5,9,功效,正面,上妆效果：容易上妆 个人情况：油性皮肤 持久情况：下午好像有点出油 整体描述：还不错 适合肤质：油性肤质
